100 2300
6 73 2
34 44 7
39 81 2
25 92 4
53 81 5
36 59 5
4 80 7
0 86 1
59 86 8
32 62 2
77 83 8
53 82 3
70 83 3
61 93 6
17 40 6
17 35 3
39 69 7
5 33 3
33 83 3
3 98 6
88 92 10
10 48 3
20 45 8
4 44 2
49 58 1
38 51 10
39 92 10
42 63 2
35 99 4
6 85 10
61 87 9
60 83 7
47 59 6
34 48 8
61 88 8
9 45 10
22 23 10
8 54 10
54 64 3
15 26 10
21 50 8
83 96 6
5 68 7
44 49 7
61 66 9
80 83 4
50 70 10
20 56 1
2 28 9
52 93 8
0 50 10
12 53 10
18 64 7
42 62 10
9 24 3
38 62 3
6 25 9
39 72 2
28 66 7
43 44 8
15 44 6
40 76 7
19 58 9
20 82 6
85 90 6
6 96 7
11 84 4
25 54 4
19 90 3
68 81 2
12 37 3
5 26 10
6 90 6
1 94 1
3 36 10
13 59 10
33 58 3
53 86 7
49 71 9
14 30 9
16 80 5
86 97 3
10 82 2
21 51 5
16 73 4
85 91 6
30 71 1
46 57 2
34 95 8
12 35 5
22 86 5
34 78 3
18 59 6
15 74 2
0 87 4
39 73 10
12 22 4
53 87 10
86 92 1
51 64 4
50 76 7
16 48 10
15 95 4
38 43 4
68 83 9
88 91 7
6 54 7
55 59 7
35 50 8
29 72 7
19 26 1
46 58 2
4 54 7
6 91 8
66 99 3
22 90 5
32 61 3
9 55 3
9 98 8
18 26 1
30 63 8
54 56 1
83 92 2
18 68 3
44 67 9
52 99 4
26 70 2
85 89 2
31 95 3
39 57 6
19 99 10
28 67 6
56 66 1
5 96 1
25 43 1
70 90 10
28 62 3
78 85 5
42 74 7
24 66 8
27 93 9
1 65 8
7 82 8
13 23 7
11 15 7
2 14 1
34 67 6
24 55 1
46 69 4
1 15 3
51 82 4
19 20 3
14 87 7
6 77 1
11 63 10
79 99 2
42 69 10
51 72 2
4 24 5
22 45 5
0 54 6
65 73 5
68 79 6
2 31 6
47 91 10
13 37 9
75 93 10
37 83 9
20 57 2
3 64 9
27 34 10
14 64 1
6 83 1
5 81 1
39 78 1
14 61 9
31 92 2
86 96 8
24 77 10
54 71 6
12 21 8
43 84 3
20 44 2
12 82 4
52 59 4
3 9 10
23 55 8
68 96 1
4 83 7
10 21 8
32 92 6
34 50 9
25 71 2
67 87 7
15 73 6
55 66 7
24 88 10
23 58 2
40 93 3
28 99 6
38 49 9
63 87 3
9 32 1
91 98 2
4 23 1
22 59 7
6 81 7
44 55 3
26 66 3
3 57 3
7 25 1
83 85 1
60 67 9
25 80 4
21 37 1
23 34 10
52 77 10
17 42 6
40 60 3
24 85 6
5 12 4
6 34 6
34 88 9
35 71 8
5 66 8
31 96 2
23 64 2
20 60 10
61 71 9
81 84 2
10 37 2
76 81 1
6 7 10
21 98 1
20 68 8
64 82 9
2 97 4
46 50 9
24 63 2
7 81 1
4 61 4
5 43 8
51 52 6
10 14 9
44 71 6
8 30 2
75 76 2
26 98 9
30 53 3
61 74 5
80 93 1
13 76 4
32 79 9
6 22 9
13 15 6
14 43 3
42 78 3
42 99 5
26 87 1
17 55 6
50 91 6
44 75 8
41 84 10
48 79 9
8 19 2
23 25 6
2 54 10
16 30 9
30 36 5
4 22 5
31 66 7
2 78 10
40 51 6
42 49 5
54 73 6
76 97 8
32 69 8
65 93 4
9 65 6
5 82 8
16 20 10
1 32 1
43 54 9
60 94 9
6 32 5
54 80 10
58 94 5
28 93 2
46 61 6
32 98 5
12 40 7
6 28 10
32 49 7
48 52 5
69 98 9
56 61 2
15 97 2
49 74 5
12 45 8
1 51 1
32 42 9
14 16 6
1 8 3
78 89 5
46 60 8
58 99 6
12 62 9
13 49 5
47 77 6
60 87 8
27 44 6
37 38 2
46 53 9
23 36 7
22 47 6
49 85 8
32 53 6
11 34 5
4 69 2
17 88 1
40 42 2
55 58 7
51 84 3
51 95 8
32 44 10
17 59 8
46 71 1
27 33 6
64 93 1
12 71 4
47 97 10
44 52 10
8 56 5
44 70 5
34 83 6
20 52 8
52 61 8
18 32 9
37 70 1
49 96 7
31 56 8
17 60 3
4 40 4
62 96 5
16 67 3
45 71 4
22 27 10
50 66 9
16 23 2
53 72 4
7 18 2
14 74 10
24 29 8
24 83 1
49 63 8
5 52 8
68 74 6
54 77 6
40 61 9
14 63 3
11 38 6
6 97 2
37 80 5
22 35 9
36 43 10
46 81 7
57 96 7
12 43 1
9 71 8
53 64 6
54 89 9
38 70 6
19 74 6
23 24 10
47 48 4
19 96 4
17 31 6
33 79 8
14 51 9
1 13 9
35 53 6
43 50 5
30 64 1
9 88 5
36 56 6
11 52 1
71 81 7
84 95 6
44 89 9
61 67 10
63 97 1
23 41 9
37 97 9
21 81 1
43 53 4
36 81 9
30 38 10
7 85 10
71 76 7
42 75 10
11 42 3
54 83 6
14 15 8
39 96 1
75 99 6
13 67 6
79 86 10
56 95 10
25 90 3
23 96 3
34 97 9
72 91 3
38 44 4
74 77 8
74 81 4
41 47 9
25 56 6
17 27 7
30 33 2
46 93 5
13 20 2
6 12 6
74 95 9
54 86 5
11 68 5
21 64 9
7 24 2
20 88 2
34 86 10
32 54 7
38 98 9
59 76 6
17 36 8
26 64 7
68 80 3
6 53 8
40 83 3
14 69 10
24 65 1
8 27 5
52 58 7
29 84 1
0 67 1
3 56 4
24 61 2
16 92 4
34 53 2
21 26 1
12 56 9
39 74 4
71 78 1
44 76 8
17 80 3
18 40 3
27 99 8
10 89 10
55 85 9
2 36 6
85 92 6
44 77 1
46 96 5
16 65 8
6 9 2
42 48 2
33 90 4
60 70 7
40 88 1
25 49 9
54 68 1
40 50 10
45 93 5
65 72 4
48 78 8
77 95 9
2 79 1
7 90 9
31 67 5
55 73 2
43 58 10
11 64 1
15 68 7
82 91 4
13 19 1
72 87 3
26 42 4
26 71 2
15 57 5
72 82 9
11 98 4
2 64 8
63 88 6
7 35 3
47 98 4
36 73 4
38 68 1
38 73 8
0 40 8
10 26 2
87 98 1
11 59 3
20 22 4
28 82 2
44 93 2
15 63 1
11 57 1
35 76 10
0 41 9
9 30 5
15 99 10
27 88 4
90 99 6
11 21 8
5 7 9
1 16 3
77 96 2
13 82 1
4 20 1
21 27 1
20 76 3
63 70 7
19 97 7
39 48 5
16 56 9
5 31 5
58 83 6
7 13 4
11 55 8
35 36 4
49 55 7
77 94 6
9 95 3
31 58 7
4 52 3
11 40 3
55 79 7
53 97 2
12 77 5
35 70 10
73 74 2
15 17 10
12 93 7
61 99 5
65 97 4
40 62 10
43 95 2
7 41 9
0 76 5
27 35 6
43 46 1
57 63 9
20 32 3
48 94 10
13 89 1
26 43 7
65 87 10
10 27 1
32 89 9
10 69 7
60 63 5
29 96 7
37 75 1
11 16 10
85 96 4
18 58 1
72 76 3
3 31 8
57 76 4
47 84 8
14 88 8
30 82 5
12 32 10
24 49 8
24 30 10
22 72 8
65 82 1
40 75 7
14 40 4
21 23 1
23 44 8
25 53 5
3 42 10
24 73 7
35 69 4
36 38 5
14 54 3
52 85 2
9 79 9
11 43 5
48 58 1
48 68 8
30 52 3
35 95 2
60 98 2
3 14 2
51 55 2
25 44 3
38 55 1
37 78 4
15 18 9
0 13 5
86 89 4
3 53 6
12 42 2
52 67 3
87 97 2
73 89 10
18 25 3
59 82 6
62 72 6
0 72 4
88 89 8
34 74 6
39 50 1
16 61 3
6 92 6
28 58 6
76 79 2
43 92 8
47 60 3
15 43 4
25 35 8
19 83 6
64 97 5
10 11 10
70 95 5
12 80 5
18 84 3
74 93 7
42 55 1
41 98 3
25 94 5
58 86 1
43 73 5
2 24 3
29 32 10
82 90 8
79 94 2
26 49 3
19 54 9
29 78 7
22 46 1
34 69 5
3 80 9
16 49 7
9 27 7
21 39 3
29 40 7
46 62 1
35 79 9
51 98 2
39 66 1
9 44 8
22 44 1
35 97 10
32 40 6
5 32 5
13 96 10
4 75 6
14 83 8
15 83 5
5 22 3
70 84 1
48 90 1
25 39 10
17 98 1
11 14 5
8 37 10
33 45 8
8 21 6
63 99 8
10 88 6
88 90 8
86 87 9
25 55 10
8 48 10
17 26 5
28 48 3
7 9 9
56 75 3
32 41 4
55 87 3
4 89 7
13 17 6
1 76 3
31 71 2
5 30 9
22 73 8
3 77 1
1 55 6
47 90 8
7 14 1
55 84 9
31 93 7
62 86 10
0 77 8
36 76 8
30 55 2
21 62 2
52 79 5
1 29 1
35 84 2
2 85 6
48 92 6
8 44 1
47 61 3
15 81 8
39 43 4
49 90 4
20 27 9
42 60 10
20 39 7
35 92 10
8 71 8
24 67 2
56 96 1
8 83 10
71 72 5
13 86 9
81 86 4
10 15 10
28 37 10
0 48 8
16 89 5
28 85 3
75 83 2
29 71 1
89 97 9
28 57 7
51 73 5
2 50 7
5 40 3
